Longitude	Latitude	FID	solmutunnu	linjoja	lyhyt_nro	nimi_s	nimi_r	nousijat	nettiosoit	P_koord	I_koord
24.81381574	60.23153364	5402	2114218	3	E1907	Pikkulinnunreitti	Småfågelsstråket	23	http://aikataulut.hsl.fi/pysakit/fi/2114218.html	6680287	2545271
24.76467966	60.22030084	5403	2132214	3	E1813	Kelkkamäentie	Kälkbacksvägen	5	http://aikataulut.hsl.fi/pysakit/fi/2132214.html	6679003	2542563
24.81721983	60.18700159	5404	2222907	0	XE2219	OIH Maarinranta	OIH Maarinranta	0	 	6675328	2545521
24.7486784	60.14910643	5405	2311213	5	E3113	Nokkala	Nokkala	197	http://aikataulut.hsl.fi/pysakit/fi/2311213.html	6671061	2541766
24.67301638	60.13784371	5406	2412233	7	E4122	Soukankuja	Sökögränden	78	http://aikataulut.hsl.fi/pysakit/fi/2412233.html	6669761	2537576
24.75983065	60.22360486	5407	2132225	5	E1814	Karamalmin koulu	Karamalmens skola	89	http://aikataulut.hsl.fi/pysakit/fi/2132225.html	6679368	2542290
24.82595482	60.16878936	5408	2231201	20	E2301	Karhusaari	Björnholm	229	http://aikataulut.hsl.fi/pysakit/fi/2231201.html	6673305	2546031
24.81344887	60.23129358	5409	2114219	3	E1908	Pikkulinnunreitti	Småfågelsstråket	111	http://aikataulut.hsl.fi/pysakit/fi/2114219.html	6680260	2545251
24.74163651	60.14818565	5410	2311214	5	E3114	Nuottaniemi	Notudden	5	http://aikataulut.hsl.fi/pysakit/fi/2311214.html	6670954	2541376
24.76053371	60.22358288	5411	2132226	5	E1815	Karamalmin koulu	Karamalmens skola	30	http://aikataulut.hsl.fi/pysakit/fi/2132226.html	6679366	2542329
24.80446753	60.16892146	5412	2231202	19	E2302	Westendinasema	Westendstationen	1146	http://aikataulut.hsl.fi/pysakit/fi/2231202.html	6673305	2544838
24.67365114	60.1380828	5413	2412234	7	E4123	Soukankuja	Sökögränden	383	http://aikataulut.hsl.fi/pysakit/fi/2412234.html	6669788	2537611
24.81383732	60.23385823	5414	2114220	3	E1909	Lintukulma	Fågelhörnet	23	http://aikataulut.hsl.fi/pysakit/fi/2114220.html	6680546	2545269
